市町村コード,都道府県名,市町村名,地域,年度,合計（千円）,構成比（％）,生活扶助費（千円）,生活扶助費構成比（％）,住宅扶助費（千円）,住宅扶助費構成比（％）,教育扶助費（千円）,教育扶助費構成比（％）,医療扶助費（千円）,医療扶助費構成比（％）,介護扶助費（千円）,介護扶助費構成比（％）,その他扶助費（千円）,その他扶助費構成比（％）,施設事務費（千円）,施設事務費構成比（％）,
052124,秋田県,大仙市,市全域,2005（平成17）,1194969 ,100 ,91754 ,34,91754,7.6,4329,0.3,593497,49.6,32592,2.7,3868,0.8,60070,5,
052124,秋田県,大仙市,市全域,2006（平成18）,1308050 ,100 ,422224 ,32.3,97338 ,7 ,4173 ,0 ,677318 ,52 ,43677 ,3 ,3697 ,0 ,59623 ,5 ,
052124,秋田県,大仙市,市全域,2007（平成19）,1329332 ,100 ,452545 ,34,109091 ,8 ,4373 ,0 ,645094 ,49 ,48542 ,4 ,5568 ,0 ,64119 ,5 ,
052124,秋田県,大仙市,市全域,2008（平成20）,1391553 ,100 ,471366 ,33.9,113671 ,8 ,4276 ,0 ,674859 ,49 ,58767 ,4 ,5207 ,0 ,63407 ,5 ,
052124,秋田県,大仙市,市全域,2009（平成21）,1571021 ,100 ,528873 ,33.7,130218 ,8 ,7317 ,1 ,770946 ,49 ,70045 ,5 ,7216 ,1 ,56496 ,4 ,
052124,秋田県,大仙市,市全域,2010（平成22）,1858676 ,100 ,620164 ,33.4,156917 ,8 ,8792 ,1 ,937377 ,50 ,68352 ,4 ,9133 ,1 ,57941 ,3 ,
052124,秋田県,大仙市,市全域,2011（平成23）,2087761 ,100 ,655883 ,31..4,167325 ,8,9079 ,0 ,1104822 ,53 ,84365 ,4,12375 ,1 ,53912 ,3 ,
052124,秋田県,大仙市,市全域,2012（平成24）,1814341 ,100 ,669962 ,36.9,183525 ,10.1,10420 ,0.6,787597 ,43.4,96081 ,5.3,12920 ,0.7,53936 ,3,
052124,秋田県,大仙市,市全域,2013（平成25）,1885347,100,644643,34.2,181915,9.7,9603,0.5,873766,46.4,107669,5.7,14429,0.8,53322,2.8,
052124,秋田県,大仙市,市全域,2014（平成26）,1923420,100,664532,34.6,188940,9.8,9986,0.5,889622,46.3,97845,5.1,13073,0.7,59422,3.1,
052124,秋田県,大仙市,市全域,2015（平成27）,2097402,100,533235,30.2,198971,9.5,9313,0.4,1083612,51.6,97675,4.7,13842,0.7,60754,2.9,
052124,秋田県,大仙市,市全域,2016（平成28）,1995348,100,623553,31.3,203862,10.2,8974,0.4,997782,50,91800,4.6,10016,0.5,59361,3,
052124,秋田県,大仙市,市全域,2017（平成29）,1808268,100,592622,32.8,206955,11.4,7035,0.4,853218,47.2,83452,4.6,7492,0.4,57494,3.2,
052124,秋田県,大仙市,市全域,2018（平成30）,1796061,100,566842,31.6,202957,11.3,6069,0.3,878900,48.9,72819,4.1,9195,0.5,59279,3.3,
052124,秋田県,大仙市,市全域,2019（令和1）,1716077 ,100 ,537476 ,31.3,203852 ,11.9,4820 ,0.3,836159 ,48.7,66951,3.9,6765,0.4,60054,3.5,
052124,秋田県,大仙市,市全域,2020（令和2）,1661831,100,485950,29.3,206148,12.4,3463,0.2,830675,50,68606,4.1,8146,0.5,58843,3.5,
052124,秋田県,大仙市,市全域,2021（令和3）,1554980,100,458319,29.5,193363,12.4,2761,0.2,772029,49.7,60080,3.9,6337,0.4,62093,4,
