３６　中　学　校　卒　業　者　の　進　路　状　況,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,各年３月卒業者　単位：人
年次,卒業者総数,,,高等学校等進学者,,,"専修学校
等入学者","公共職業
能力開発
施設等入学者",就職者,,,左記以外　　の者,(A)(B)(C),進学率,,就職率,
,(A)＋(B)＋(C)＋(D)＋(E),,,,（A）,,,,,（D）,,,のうち,（％）,,（％）,
,計,男,女,計,男,女,（B）,（C）,計,男,女,（E）,就職者,秋田市,秋田県,秋田市,秋田県
平成25年,"2,927 ","1,499 ","1,428 ","2,873 ","1,476 ","1,397 ",38 ,1 ,2 ,1 ,1 ,13 , － ,98.2 ,98.9 ,0.1 ,0.1 
26,"2,922 ","1,496 ","1,426 ","2,870 ","1,468 ","1,402 ",22 , － ,3 ,3 , － ,27 , － ,98.2 ,99.0 ,0.1 ,0.2 
27,"2,790 ","1,427 ","1,363 ","2,744 ","1,408 ","1,336 ",19 , － ,3 ,3 , － ,24 ,1 ,98.4 ,99.0 ,0.1 ,0.1 
28,"2,793 ","1,383 ","1,410 ","2,751 ","1,366 ","1,385 ",23 ,1 ,4 ,3 ,1 ,14 , － ,98.5 ,99.1 ,0.1 ,0.1 
29,"2,715 ","1,361 ","1,354 ","2,678 ","1,343 ","1,335 ",18 , － ,1 ,1 , － ,18 , － ,98.6 ,99.1 ,0.0 ,0.1 
30,"2,676 ","1,303 ","1,373 ","2,624 ","1,284 ","1,340 ",38 , － , － , － , － ,14 , － ,98.1 ,99.0 , － , － 
31,"2,597 ","1,311 ","1,286 ","2,541 ","1,290 ","1,251 ",42 , － ,3 ,1 ,2 ,11 ,1 ,97.8 ,98.8 ,0.2 ,0.1 
令和２年,"2,543 ","1,295 ","1,248 ","2,489 ","1,274 ","1,215 ",41 , － , － , － , － ,13 , － ,97.9 ,98.7 , － , － 
３,"2,438 ","1,224 ","1,214 ","2,380 ","1,203 ","1,177 ",43 , － ,1 ,1 , － ,14 , － ,97.6 ,98.7 ,0.0 ,0.1 
４,"2,513 ","1,283 ","1,230 ","2,460 ","1,266 ","1,194 ",41 , － , 4 , 3 , 1 ,8 , － ,97.9 ,98.9 ,0.2 ,0.1 
　資料　秋田県調査統計課「学校基本調査結果報告書」,,,,,,,,,,,,,,,,,
　　注）１　高等学校等進学者とは、高等学校の本科・別科、通信制高校、高等専門学校、特別支援学校高等部の本科・別科へ進学した者を指す。,,,,,,,,,,,,,,,,,
　　　　２　左記以外の者には、死亡・不詳を含む。,,,,,,,,,,,,,,,,,
　　　　３　進学率は「高等学校等進学者」を「卒業者総数」で除したものである。　,,,,,,,,,,,,,,,,,
