市町村コード,都道府県名,市町村名,年度,可燃物処理状況（ｔ）,不燃物処理状況（ｔ）,資源物処理状況（ｔ）,収集職員数（人）,収集車両台数（台）,焼却処理（ｔ）,埋立処理（ｔ）,１日あたりゴミ排出量（ｔ）
05212,秋田県,大仙市,2006(平成18),"31,181","2,371","3,698",108,105,"31,181","3,960",91.4
05212,秋田県,大仙市,2007(平成19),"30,131","2,085","4,053",107,100,"30,131","3,559",88.3
05212,秋田県,大仙市,2008(平成20),"28,266","1,738","3,959",113,103,"28,266","5,672",82.2
05212,秋田県,大仙市,2009(平成21),"26,908","1,498","3,972",150,117,"26,908","5,638",77.8
05212,秋田県,大仙市,2010(平成22),"26,332","1,192","3,723",164,125,"26,332","4,294",75.4
05212,秋田県,大仙市,2011(平成23),"26,525","1,377","3,512",167,129,"27,397","3,961",76.4
05212,秋田県,大仙市,2012(平成24),"26,763","1,324","3,918",173,126,"29,848","4,392",77.0
05212,秋田県,大仙市,2013(平成25),"27,347","1,331","3,696",187,135,"30,320","4,493",78.6
05212,秋田県,大仙市,2014(平成26),"27,003","1,282","3,215",190,137,"30,136","4,312",77.5
05212,秋田県,大仙市,2015(平成27),"26,602","1,301","2,898",168,140,"29,603","4,203",76.4
05212,秋田県,大仙市,2016(平成28),"26,246",977,"2,994",182,134,"28,775","3,759",74.6
05212,秋田県,大仙市,2017(平成29),"27,477","1,187","2,869",181,140,"31,913","4,518",78.5
05212,秋田県,大仙市,2018(平成30),"26,923","1,153","2,704",184,145,"29,416","3,873",76.9
05212,秋田県,大仙市,2019(令和1),"27,430","1,071","2,506",160,122,"29,617","4,566",78.1
05212,秋田県,大仙市,2020(令和2),"26,611","1,061","2,370",164,137,"28,275","4,420",75.6
